circle-id,participant-id,サークル名,内容,代表者,複数,合同誌,日程,配置,おしながき・告知,Twitter,
1,1,ST@RRY,既刊,綾野 優,×,×,2日目,東3ア81ab,https://x.com/U_KAyano/status/2086086007099944968?s=20,https://x.com/U_KAyano,
2,2,StarryMiracle,もし恋合同,みちゃん,×,○,2日目,東3ホ20b,https://x.com/st_michan/status/2084969712086307065?s=20,https://x.com/st_michan,
3,3,夢を想う詩,琴乃×渚SS,古鉄,×,×,2日目,東3ホ21a,,https://x.com/PTX_003C,
4,4,よそ見プロ,芽衣すずちょっとえっちな漫画本,PURIN,×,×,2日目,東3ホ21b,https://x.com/puririn778/status/2066836088568828392?s=20,https://x.com/puririn778,
5,5,ProjectSara,麻奈/牧野 メイン,Salad,×,×,2日目,東3ホ22a,https://x.com/TweetySalad/status/2087011130434895980?s=20,https://x.com/TweetySalad,
6,6,YAIDA_SEIKA,橋本さとみドット,やいだ りん,×,×,2日目,東3ホ22b,https://x.com/darin_22kan/status/2082847654749643195?s=20,https://x.com/darin_22kan,
7,7,eclipse,5周年記念まとめ本,IDOLY PRIDEまとめ,×,×,2日目,東3ホ23a,https://x.com/IDOLY_PRIDE_ch/status/2062869543874380285?s=20,https://x.com/IDOLY_PRIDE_ch,
8,8,ボジミ空論舎,アイプラの解像度が上がる〝かもしれない〟本,たこきゅむの思想,×,×,2日目,東3ホ23b,https://x.com/tacoske_ruri/status/2062845628812808340?s=20,https://x.com/tacoske_ruri,
9,9,さんじょるの,,さんじょ,×,×,2日目,東3ホ24a,https://x.com/ryotohmi/status/2086995560368882137?s=20,https://x.com/ryotohmi,
10,10,死灰復燃,オールキャライラスト本,葉科,×,×,2日目,東3ホ24b,https://x.com/skifknn/status/2062825480735375720?s=20,https://x.com/skifknn,
11,11,X.mM,雫kana本,びーつき,○,×,2日目,東3ホ25ab,https://x.com/b_tsuki_/status/2085984353352585261?s=20,https://x.com/b_tsuki_,
11,12,X.mM,莉央・愛中心イラスト特化本,大鋼 断,○,×,2日目,東3ホ25ab,https://x.com/daimonzi_x/status/2085991993986240722?s=20,https://x.com/daimonzi_x,
12,13,お茶にしましょう。,雫、franの短編漫画2本,やまき,×,×,2日目,東3ホ26a,https://x.com/ymkmk2/status/2028876564411417019?s=20,https://x.com/ymkmk2,
13,14,113番元素,白石姉妹の漫画本,Uut.,×,×,2日目,東3ホ26b,https://x.com/PVA_vinylon/status/2086044755528437872?s=20,https://x.com/PVA_vinylon,
14,15,篝屋擬,ちさきゅばす本成人向け,篝三,×,×,2日目,東3ホ27a,https://x.com/kagari_sankaku/status/2086750798835601477?s=20,https://x.com/kagari_sankaku,
15,16,Front Runner,アイプラ短編,ブライアン,×,×,2日目,東3ホ27b,https://x.com/56nQCMe7yOP5q3u/status/2084401872920817945?s=20,https://x.com/56nQCMe7yOP5q3u,
16,17,Justy/.,鈴村優本の続き,Justy,×,×,2日目,東7E41a,https://x.com/JustySlash/status/2062869861869740032?s=20,https://x.com/JustySlash,
,,,,,,,,,,,
